web-scraper-order,dates_times_title_course_number,course_number
1550244877-12867,Time/Location: T Th 10:30 AM-11:50 AM / SAB-RD 220,
1550244877-12868,Time/Location: T Th 9:00 AM-10:20 AM / SEELYE 106,
1550244877-12869,Time/Location: T Th 1:00 PM-2:50 PM / LYMAN 111,
1550244877-12870,Time/Location: T Th 3:00 PM-4:50 PM / LYMAN 111,
1550244877-12871,Time/Location: T Th 9:00 AM-10:20 AM / MCCONN 103,
1550244877-12872,Time/Location: T 1:00 PM-4:00 PM / SAB-RD 223,
1550244877-12873,Time/Location: W 1:10 PM-4:00 PM / SAB-RD 223,
1550244877-12874,Time/Location: Th 1:00 PM-3:50 PM / SAB-RD 223,
1550244877-12875,Time/Location: T Th 10:30 AM-11:50 AM / FORD 240,
1550244877-12876,Time/Location: W 1:40 PM-2:30 PM / MCCONN B05,
1550244877-12877,Time/Location: W 2:40 PM-3:30 PM / MCCONN B05,
1550244877-12878,Time/Location: T 4:00 PM-4:50 PM / BASS 102,
1550244877-12879,Time/Location: T 3:00 PM-3:50 PM / BASS 102,
1550244877-12880,Time/Location: M 1:10 PM-4:00 PM / SAB-RD 328A,
1550244877-12881,Time/Location: T 1:00 PM-3:50 PM / SAB-RD 328A,
1550244877-12882,Time/Location: W 1:10 PM-4:00 PM / SAB-RD 328A,
1550244877-12883,Time/Location: Th 1:00 PM-3:50 PM / SAB-RD 328A,
1550244877-12884,Time/Location: M W F 9:00 AM-10:20 AM / BASS 203,
1550244877-12885,Time/Location: W 1:10 PM-4:00 PM / FORD 122,
1550244877-12886,Time/Location: Th 1:00 PM-3:50 PM / FORD 122,
1550244877-12887,Time/Location: M W 9:00 AM-10:20 AM / SAB-RD 208,
1550244877-12888,Time/Location: W 1:10 PM-4:00 PM / SAB-RD 208,
1550244877-12889,Time/Location: M W F 11:00 AM-12:10 PM / FORD 240,
1550244877-12890,Time/Location: M 1:10 PM-2:00 PM / SAB-RD 220,
1550244877-12891,Time/Location: T 1:00 PM-1:50 PM / BASS 210,
1550244877-12892,Time/Location: W 2:40 PM-3:30 PM / BASS 203,
1550244877-12893,Time/Location: M 1:10 PM-4:00 PM / FORD 120,
1550244877-12894,Time/Location: T 1:00 PM-3:50 PM / FORD 120,
1550244877-12895,Time/Location: W 1:10 PM-4:00 PM / FORD 120,
1550244877-12896,Time/Location: Th 1:00 PM-3:50 PM / FORD 120,
1550244877-12897,Time/Location: T Th 10:30 AM-11:50 AM / SAB-RD 205,
1550244877-12898,Time/Location: F 1:10 PM-4:00 PM / SAB-RD 411,
1550244877-12899,Time/Location: F 1:10 PM-4:00 PM / SAB-RD 411,
1550244877-12900,Time/Location: F 1:10 PM-4:00 PM / SAB-RD 411,
1550244877-12901,Time/Location: F 1:10 PM-4:00 PM / SAB-RD 411,
1550244877-12902,Time/Location: W 1:10 PM-4:00 PM / CAPENA,
1550244877-12903,Time/Location: T 1:00 PM-2:50 PM / BURTON 307,
1550244877-12904,Time/Location: Th 1:00 PM-2:50 PM / BURTON 307,
1550244877-12905,Time/Location: T 1:00 PM-3:50 PM / SAB-RD 408,
1550244877-12906,Time/Location: Th 1:00 PM-3:50 PM / SAB-RD 408,
1550244877-12907,Time/Location: T 4:00 PM-4:50 PM / SAB-RD 410,
1550244877-12908,Time/Location: Th 1:00 PM-3:50 PM / SAB-RD 205,
1550244877-12909,Time/Location: T Th 9:00 AM-10:20 AM / SAB-RD 220,
1550244877-12910,Time/Location: T 1:00 PM-3:50 PM / SAB-RD 314,
1550244877-12911,Time/Location: T 1:00 PM-2:50 PM / SAB-RD 220,
1550244877-12912,,
1550244877-12913,Time/Location: T Th 9:00 AM-10:20 AM / MCCONN 403,
1550244877-12914,,
1550244877-12915,Time/Location: T 1:00 PM-4:00 PM / TRYON 134,
1550244877-12916,Time/Location: M W F 11:00 AM-12:10 PM / SEELYE 301,
1550244877-12917,Time/Location: M W F 9:00 AM-10:20 AM / FORD 240,
1550244877-12918,Time/Location: M W F 11:00 AM-12:10 PM / MCCONN 103,
1550244877-12919,Time/Location: M 1:10 PM-4:00 PM / FORD 223,
1550244877-12920,Time/Location: M 1:10 PM-4:00 PM / FORD 226,
1550244877-12921,Time/Location: T 1:00 PM-3:50 PM / FORD 223,
1550244877-12922,Time/Location: T 1:00 PM-3:50 PM / FORD 226,
1550244877-12923,Time/Location: W 1:10 PM-4:00 PM / FORD 226,
1550244877-12924,Time/Location: Th 1:00 PM-3:50 PM / FORD 223,
1550244877-12925,Time/Location: Th 1:00 PM-3:50 PM / FORD 226,
1550244877-12926,Time/Location: F 1:10 PM-4:00 PM / FORD 223,
1550244877-12927,Time/Location: M W F 9:00 AM-10:20 AM / MCCONN 103,
1550244877-12928,Time/Location: M 1:10 PM-4:00 PM / FORD 326,
1550244877-12929,Time/Location: T 1:00 PM-3:50 PM / FORD 326,
1550244877-12930,Time/Location: W 1:10 PM-4:00 PM / FORD 326,
1550244877-12931,Time/Location: Th 1:00 PM-3:50 PM / FORD 326,
1550244877-12932,Time/Location: F 1:10 PM-4:00 PM / FORD 326,
1550244877-12933,"Time/Location: F 2:40 PM-4:00 PM / MCCONN B05, W 2:40 PM-4:00 PM / MCCONN 104",
1550244877-12934,Time/Location: T Th 10:30 AM-11:50 AM / FORD 320,
1550244877-12935,Time/Location: Th 1:00 PM-4:50 PM / FORD 323,
1550244877-12936,Time/Location: M W F 9:00 AM-10:20 AM / BASS 210,
1550244877-12937,Time/Location: M 1:10 PM-4:00 PM / FORD 320,
1550244877-12938,Time/Location: T Th 9:00 AM-10:20 AM / FORD 320,
1550244877-12939,Time/Location: T 1:00 PM-4:50 PM / FORD 320,
1550244877-12940,Time/Location: Th 1:00 PM-4:50 PM / FORD 320,
1550244877-12941,Time/Location: M W F 11:00 AM-12:10 PM / BASS 102,
1550244877-12942,Time/Location: W 7:30 PM-9:30 PM / SEELYE 110,
1550244877-12943,Time/Location: T Th 3:00 PM-4:50 PM / SEELYE 302,
1550244877-12944,Time/Location: M W F 11:00 AM-12:10 PM / BURTON 307,
1550244877-12945,Time/Location: T Th 1:00 PM-2:50 PM / SEELYE 304,
1550244877-12946,Time/Location: M W F 11:00 AM-12:10 PM,
1550244877-12947,Time/Location: M W F 9:00 AM-10:20 AM / SEELYE 311,
1550244877-12948,Time/Location: T Th 9:00 AM-10:20 AM / SEELYE 105,
1550244877-12949,Time/Location: M W 2:40 PM-4:00 PM / HATFLD 201,
1550244877-12950,,
1550244877-12951,Time/Location: M W 1:10 PM-2:30 PM / SEELYE 105,
1550244877-12952,Time/Location: M 7:00 PM-9:00 PM / SEELYE 106,
1550244877-12953,Time/Location: T Th 9:00 AM-10:20 AM / HATFLD 204,
1550244877-12954,Time/Location: M W 2:40 PM-4:00 PM / SEELYE 301,
1550244877-12955,Time/Location: T Th 3:00 PM-4:50 PM / SEELYE 105,
1550244877-12956,Time/Location: T Th 10:30 AM-11:50 AM / SEELYE 310,
1550244877-12957,Time/Location: Th 3:00 PM-4:50 PM / HATFLD 202,
1550244877-12958,Time/Location: M W F 10:00 AM-10:50 AM / FORD 241,
1550244877-12959,Time/Location: M W F 10:00 AM-10:50 AM / FORD 241,
1550244877-12960,Time/Location: M W 1:10 PM-2:30 PM / FORD 240,
1550244877-12961,Time/Location: M W F 9:00 AM-10:20 AM / STODRD G2,
1550244877-12962,Time/Location: W 3:10 PM-5:00 PM / FORD 241,
1550244877-12963,Time/Location: Th 3:00 PM-4:50 PM / FORD 241,
1550244877-12964,Time/Location: Th 1:00 PM-2:50 PM / FORD 241,
1550244877-12965,Time/Location: W 1:10 PM-3:00 PM / FORD 241,
1550244877-12966,Time/Location: T Th 3:00 PM-4:50 PM / SEELYE 411,
1550244877-12967,Time/Location: M W 1:10 PM-2:30 PM / STODRD G2,
1550244877-12968,Time/Location: Th 1:00 PM-2:50 PM / FORD 342,
1550244877-12969,Time/Location: Th 3:00 PM-4:50 PM / FORD 342,
1550244877-12970,Time/Location: M W 2:40 PM-4:00 PM / FORD 342,
1550244877-12971,Time/Location: T Th 9:00 AM-10:20 AM / SEELYE 301,
1550244877-12972,Time/Location: M W 1:10 PM-2:30 PM / FORD 342,
1550244877-12973,Time/Location: T Th 10:30 AM-11:50 AM / FORD 342,
1550244877-12974,Time/Location: T 1:00 PM-2:50 PM / FORD 342,
1550244877-12975,Time/Location: T Th 10:30 AM-11:50 AM / FORD 143,
1550244877-12976,Time/Location: Th 3:00 PM-4:50 PM / FORD 143,
1550244877-12977,Time/Location: M W 2:40 PM-4:00 PM / FORD 345,
1550244877-12978,Time/Location: M W 1:10 PM-2:30 PM / MCCONN 103,
1550244877-12979,Time/Location: T Th 9:00 AM-10:20 AM / FORD 345,
1550244877-12980,Time/Location: M W 9:00 AM-10:20 AM / FORD 345,
1550244877-12981,Time/Location: M W 1:10 PM-2:30 PM / CREW HOUSE,
1550244877-12982,Time/Location: T Th 1:00 PM-2:30 PM / SCOTT DANCE,
1550244877-12983,Time/Location: M W 9:00 AM-10:20 AM / SCOTT DANCE,
1550244877-12984,Time/Location: T Th 3:00 PM-4:30 PM / SCOTT DANCE,
1550244877-12985,Time/Location: F 1:10 PM-4:00 PM / BERENS 3,
1550244877-12986,Time/Location: T Th 3:00 PM-4:30 PM / BERENS LEEDS,
1550244877-12987,Time/Location: M W 9:00 AM-10:20 AM / BERENS 3,
1550244877-12988,Time/Location: T Th 3:00 PM-4:50 PM / CREW HOUSE,
1550244877-12989,,
1550244877-12990,,
1550244877-12991,Time/Location: M W 1:10 PM-2:30 PM / SCOTT DANCE,
1550244877-12992,Time/Location: T Th 1:00 PM-2:30 PM / CREW HOUSE,
1550244877-12993,Time/Location: F 1:10 PM-4:00 PM / CREW HOUSE,
1550244877-12994,Time/Location: T Th 10:30 AM-11:50 AM / SCOTT DANCE,
1550244877-12995,Time/Location: M W 10:30 AM-12:00 PM / BERENS LEEDS,
1550244877-12996,Time/Location: F 1:10 PM-4:00 PM / BERENS 3,
1550244877-12997,Time/Location: T Th 9:00 AM-10:20 AM / BERENS 3,
1550244877-12998,Time/Location: M W 9:00 AM-10:20 AM / THEATR 207A,
1550244877-12999,Time/Location: M W 2:40 PM-4:00 PM / SCOTT DANCE,
1550244877-13000,Time/Location: M W 1:10 PM-2:30 PM / SCOTT DANCE,
1550244877-13001,Time/Location: T Th 5:00 PM-6:30 PM / SCOTT DANCE,
1550244877-13002,Time/Location: M 7:00 PM-10:00 PM / THEATR 207A,
1550244877-13003,Time/Location: M 7:00 PM-10:00 PM / SCOTT DANCE,
1550244877-13004,Time/Location: F 9:00 AM-11:30 AM / SCOTT DANCE,
1550244877-13005,Time/Location: T Th 9:00 AM-10:20 AM / HILLYR 320,
1550244877-13006,,
1550244877-13007,,
1550244877-13008,,
1550244877-13009,Time/Location: M W F 8:00 AM-8:50 AM / SEELYE 302,
1550244877-13010,Time/Location: M W F 11:00 AM-11:50 AM / SEELYE 302,
1550244877-13011,Time/Location: T Th 8:00 AM-8:50 AM / SEELYE 302,
1550244877-13012,Time/Location: T Th 10:30 AM-11:20 AM / SEELYE 302,
1550244877-13013,Time/Location: M W F 9:00 AM-9:50 AM / SEELYE 302,
1550244877-13014,Time/Location: T Th 9:00 AM-9:50 AM / SEELYE 302,
1550244877-13015,Time/Location: M W F 9:00 AM-10:10 AM / SEELYE 107,
1550244877-13016,Time/Location: T Th 10:30 AM-11:50 AM / SEELYE 306,
1550244877-13017,Time/Location: T Th 3:00 PM-4:20 PM / HATFLD 205,
1550244877-13018,Time/Location: M W 1:10 PM-2:30 PM / HATFLD 203,
1550244877-13019,Time/Location: M W 1:10 PM-2:30 PM / HATFLD 205,
1550244877-13020,Time/Location: T Th 10:30 AM-11:50 AM / HATFLD 205,
1550244877-13021,Time/Location: Th 7:30 PM-9:30 PM / SEELYE 106,
1550244877-13022,Time/Location: T Th 1:00 PM-2:30 PM / HATFLD 205,
1550244877-13023,Time/Location: M W F 9:00 AM-9:50 AM / HATFLD 205,
1550244877-13024,Time/Location: M W F 8:00 AM-8:50 AM / HATFLD 205,
1550244877-13025,Time/Location: T Th 8:00 AM-8:50 AM / HATFLD 205,
1550244877-13026,Time/Location: T Th 9:00 AM-9:50 AM / HATFLD 205,
1550244877-13027,Time/Location: M W F 8:00 AM-8:50 AM / HATFLD 204,
1550244877-13028,Time/Location: T Th 8:00 AM-8:50 AM / HATFLD 203,
1550244877-13029,Time/Location: T Th 9:00 AM-9:50 AM / HATFLD 203,
1550244877-13030,Time/Location: M W F 11:00 AM-12:10 PM / HATFLD 205,
1550244877-13031,Time/Location: M W F 11:00 AM-11:50 AM / WRIGHT 002,
1550244877-13032,Time/Location: M W F 10:00 AM-10:50 AM / WRIGHT 002,
