web-scraper-order,dates_times_title_course_number,course_number
1550244877-13144,Time/Location: T 1:00 PM-2:50 PM / SEELYE 202,
1550244877-13145,Time/Location: W 7:30 PM-9:30 PM / HATFLD 201,
1550244877-13146,Time/Location: M W F 11:00 AM-12:10 PM / SEELYE 301,
1550244877-13147,Time/Location: T Th 10:30 AM-11:50 AM / BURTON 219,
1550244877-13148,Time/Location: W 1:10 PM-4:00 PM / BASS 103,
1550244877-13149,Time/Location: T Th 1:00 PM-2:50 PM / SEELYE 105,
1550244877-13150,Time/Location: T Th 1:00 PM-2:50 PM / MCCONN B05,
1550244877-13151,Time/Location: M 9:00 AM-10:20 AM / AINSWO 152,
1550244877-13152,Time/Location: T 10:30 AM-11:50 AM / AINSWO 152,
1550244877-13153,Time/Location: M W 1:10 PM-2:30 PM / SAGE 216,
1550244877-13154,Time/Location: Th 1:00 PM-2:30 PM / SAGE 15,
1550244877-13155,Time/Location: T 1:00 PM-2:30 PM / BASS 102,
1550244877-13156,Time/Location: T Th 9:00 AM-10:20 AM / AINSWO S150,
1550244877-13157,Time/Location: T Th 1:00 PM-2:30 PM / BURTON 219,
1550244877-13158,Time/Location: T 1:00 PM-2:50 PM / HATFLD 201,
1550244877-13159,,
1550244877-13160,Time/Location: M 9:00 AM-10:20 AM / SAGE 15,
1550244877-13161,,
1550244877-13162,,
1550244877-13163,Time/Location: M W 10:30 AM-11:50 AM / AINSWO S150,
1550244877-13164,Time/Location: F 9:00 AM-12:00 PM / SCOTT HPL,
1550244877-13165,Time/Location: T Th 10:30 AM-11:50 AM / SAGE 15,
1550244877-13166,Time/Location: T Th 2:00 PM-2:50 PM / AINSWO POOL,
1550244877-13167,Time/Location: T Th 3:00 PM-3:50 PM / AINSWO POOL,
1550244877-13168,Time/Location: M W 11:00 AM-12:10 PM / AINSWO POOL,
1550244877-13169,Time/Location: T Th 9:00 AM-10:20 AM / AINSWO POOL,
1550244877-13170,Time/Location: T Th 9:00 AM-9:50 AM / AINSWO 304,
1550244877-13171,Time/Location: M W 11:00 AM-12:10 PM,
1550244877-13172,Time/Location: M W 1:10 PM-2:30 PM / SCOTT GYM,
1550244877-13173,Time/Location: Th 1:10 PM-4:50 PM / BOAT HOUSE,
1550244877-13174,Time/Location: F 1:10 PM-5:00 PM / BOAT HOUSE,
1550244877-13175,Time/Location: F 10:00 AM-12:00 PM / AINSWO 304,
1550244877-13176,Time/Location: M 2:10 PM-4:00 PM / AINSWO 304,
1550244877-13177,Time/Location: T Th 10:30 AM-11:50 AM / AINSWO ITT,
1550244877-13178,Time/Location: T Th 1:00 PM-2:20 PM / AINSWO ITT,
1550244877-13179,Time/Location: T Th 2:00 PM-2:50 PM / SCOTT WEIGH,
1550244877-13180,Time/Location: T Th 8:00 AM-8:50 AM / SCOTT WEIGH,
1550244877-13181,Time/Location: T 9:00 AM-10:20 AM / AINSWO ITT,
1550244877-13182,Time/Location: T Th 3:00 PM-3:50 PM / AINSWO 304,
1550244877-13183,Time/Location: Th 7:00 PM-8:40 PM / AINSWO 304,
1550244877-13184,Time/Location: M W 9:00 AM-9:50 AM / AINSWO 304,
1550244877-13185,Time/Location: M W 8:00 AM-8:50 AM / AINSWO 304,
1550244877-13186,Time/Location: M W 11:00 AM-12:10 PM / SCOTT GYM,
1550244877-13187,Time/Location: M W 1:10 PM-2:00 PM / AINSWO GYM,
1550244877-13188,Time/Location: T Th 8:00 AM-8:50 AM / AINSWO 304,
1550244877-13189,Time/Location: T Th 4:00 PM-4:50 PM,
1550244877-13190,Time/Location: T Th 3:00 PM-3:50 PM / SCOTT GYM,
1550244877-13191,Time/Location: M 7:30 PM-9:10 PM / AINSWO 304,
1550244877-13192,Time/Location: M W 9:00 AM-9:50 AM / AINSWO GYM,
1550244877-13193,Time/Location: M W 10:00 AM-10:50 AM / AINSWO 304,
1550244877-13194,Time/Location: M W 11:00 AM-11:50 AM / AINSWO 304,
1550244877-13195,Time/Location: M W 9:00 AM-10:20 AM / AINSWO ITT,
1550244877-13196,Time/Location: M W 9:00 AM-9:50 AM / AINSWO SQCTS,
1550244877-13197,Time/Location: T Th 9:00 AM-10:20 AM / AINSWO GYM,
1550244877-13198,Time/Location: M W 1:10 PM-2:30 PM / AINSWO ITT,
1550244877-13199,Time/Location: T Th 9:00 AM-10:20 AM / AINSWO ITT,
1550244877-13200,Time/Location: M W F 10:00 AM-10:50 AM / AINSWO SQCTS,
1550244877-13201,Time/Location: T 1:00 PM-2:50 PM / AINSWO 304,
1550244877-13202,Time/Location: F 8:00 AM-9:50 AM / AINSWO 304,
1550244877-13203,Time/Location: Th 1:00 PM-2:50 PM / AINSWO 304,
1550244877-13204,Time/Location: M W 9:00 AM-10:20 AM / HILLYR GRAHAM,
1550244877-13205,Time/Location: M 7:00 PM-10:00 PM / HILLYR GRAHAM,
1550244877-13206,Time/Location: T Th 10:30 AM-11:50 AM / BASS 102,
1550244877-13207,Time/Location: T 7:00 PM-10:00 PM / MCCONN B15,
1550244877-13208,Time/Location: M W 2:40 PM-4:00 PM / HILLYR 103,
1550244877-13209,Time/Location: F 8:30 AM-12:10 PM / HILLYR 320,
1550244877-13210,Time/Location: Th 7:30 PM-10:00 PM / SEELYE 201,
1550244877-13211,Time/Location: M W 1:10 PM-2:30 PM / SEELYE 201,
1550244877-13212,Time/Location: T 7:30 PM-10:00 PM / SEELYE 201,
1550244877-13213,Time/Location: Th 1:00 PM-4:00 PM / SAB-RD 224,
1550244877-13214,Time/Location: W 7:00 PM-10:00 PM / SEELYE 201,
1550244877-13215,Time/Location: T 1:00 PM-4:00 PM / SAB-RD 224,
1550244877-13216,Time/Location: M 7:30 PM-10:00 PM / SEELYE 201,
1550244877-13217,Time/Location: M T W F 8:00 AM-8:50 AM / HATFLD 105,
1550244877-13218,Time/Location: M T W F 8:00 AM-8:50 AM / SEELYE 306,
1550244877-13219,Time/Location: M W F 10:00 AM-10:50 AM / SEELYE 206,
1550244877-13220,Time/Location: M W F 9:00 AM-9:50 AM / SEELYE 208,
1550244877-13221,Time/Location: M W F 11:00 AM-12:10 PM / SEELYE 107,
1550244877-13222,Time/Location: T Th 10:30 AM-11:50 AM / HATFLD 204,
1550244877-13223,Time/Location: T Th 9:00 AM-10:20 AM / WRIGHT 002,
1550244877-13224,Time/Location: T Th 10:30 AM-11:50 AM / HILLYR 109,
1550244877-13225,Time/Location: M 7:30 PM-9:30 PM / MCCONN 103,
1550244877-13226,Time/Location: M W F 11:00 AM-12:10 PM / HATFLD 106,
1550244877-13227,Time/Location: W 2:40 PM-4:00 PM / MCCONN 403,
1550244877-13228,Time/Location: T Th 1:00 PM-2:20 PM / HATFLD 106,
1550244877-13229,Time/Location: T Th 3:00 PM-4:20 PM / HATFLD 107,
1550244877-13230,Time/Location: T Th 10:30 AM-11:50 AM / HATFLD 106,
1550244877-13231,Time/Location: M W F 10:00 AM-10:50 AM / MCCONN 404,
1550244877-13232,Time/Location: M W 11:00 AM-12:10 PM / MCCONN B15,
1550244877-13233,Time/Location: M 1:10 PM-2:30 PM / BURTON 110,
1550244877-13234,Time/Location: W 1:10 PM-2:30 PM / BURTON 110,
1550244877-13235,Time/Location: T Th 9:00 AM-10:20 AM / SAB-RD 101,
1550244877-13236,Time/Location: Th 1:00 PM-3:50 PM / SAB-RD 102,
1550244877-13237,Time/Location: M W F 9:00 AM-9:50 AM / SAB-RD 103,
1550244877-13238,Time/Location: T 1:00 PM-4:50 PM / SAB-RD 103,
1550244877-13239,Time/Location: T Th 10:30 AM-11:50 AM / SAB-RD 109,
1550244877-13240,Time/Location: W 1:10 PM-4:00 PM / SAB-RD 109,
1550244877-13241,Time/Location: M W 11:00 AM-12:10 PM / SAB-RD 106,
1550244877-13242,Time/Location: W 1:10 PM-4:00 PM / SAB-RD 106,
1550244877-13243,Time/Location: M W F 9:00 AM-10:10 AM / HATFLD 204,
1550244877-13244,Time/Location: M W F 11:00 AM-12:10 PM / HATFLD 204,
1550244877-13245,Time/Location: T Th 9:00 AM-10:20 AM / HATFLD 202,
1550244877-13246,Time/Location: M W 1:10 PM-2:30 PM / HATFLD 204,
1550244877-13247,Time/Location: T Th 10:30 AM-11:50 AM / SEELYE 106,
1550244877-13248,Time/Location: T Th 3:00 PM-4:20 PM / HATFLD 204,
1550244877-13249,Time/Location: W 7:00 PM-9:00 PM / SEELYE 102,
1550244877-13250,Time/Location: T Th 10:30 AM-11:50 AM / SEELYE 206,
1550244877-13251,Time/Location: M W F 11:00 AM-12:10 PM / SEELYE 306,
1550244877-13252,Time/Location: M W F 11:00 AM-12:10 PM / SEELYE 201,
1550244877-13253,Time/Location: T Th 10:30 AM-11:50 AM / SEELYE 101,
1550244877-13254,Time/Location: M W 1:10 PM-2:30 PM / SEELYE 301,
1550244877-13255,Time/Location: Th 1:00 PM-2:50 PM / SEELYE 212,
1550244877-13256,Time/Location: Th 3:00 PM-4:50 PM / SEELYE 212,
1550244877-13257,Time/Location: M W 1:10 PM-2:30 PM / SEELYE 106,
1550244877-13258,Time/Location: T Th 10:30 AM-11:50 AM / SEELYE 105,
1550244877-13259,Time/Location: W F 1:10 PM-2:30 PM / BURTON 209,
1550244877-13260,Time/Location: M W 1:10 PM-2:30 PM / BASS 102,
1550244877-13261,Time/Location: M W 9:00 AM-10:20 AM / SEELYE 204,
1550244877-13262,Time/Location: M W 1:10 PM-2:30 PM / MCCONN B15,
1550244877-13263,Time/Location: T Th 9:00 AM-10:20 AM / SEELYE 201,
1550244877-13264,Time/Location: M W 9:00 AM-10:20 AM / SEELYE 411,
1550244877-13265,Time/Location: M W 2:40 PM-4:00 PM / SEELYE 208,
1550244877-13266,Time/Location: T Th 1:00 PM-2:50 PM / SEELYE 211,
1550244877-13267,Time/Location: T Th 3:00 PM-4:20 PM / SEELYE 107,
1550244877-13268,Time/Location: T Th 1:00 PM-2:50 PM / FORD 240,
1550244877-13269,Time/Location: M W 9:00 AM-10:20 AM / SEELYE 211,
1550244877-13270,Time/Location: M W 2:40 PM-4:00 PM / SEELYE 306,
1550244877-13271,Time/Location: T Th 1:00 PM-2:50 PM / SEELYE 302,
1550244877-13272,Time/Location: Th 3:00 PM-4:50 PM / HATFLD 201,
1550244877-13273,Time/Location: Th 1:00 PM-2:50 PM / WRIGHT 002,
1550244877-13274,Time/Location: T 3:00 PM-4:50 PM / HATFLD 201,
1550244877-13275,Time/Location: M W F 11:00 AM-12:10 PM / SEELYE 102,
1550244877-13276,Time/Location: M W F 11:00 AM-12:10 PM / SEELYE 208,
1550244877-13277,Time/Location: M W 2:40 PM-4:00 PM / SEELYE 105,
1550244877-13278,Time/Location: M W 2:40 PM-4:00 PM / BURTON 101,
1550244877-13279,Time/Location: M W 7:00 PM-9:30 PM / SEELYE 101,
1550244877-13280,Time/Location: M W 2:40 PM-4:00 PM / SEELYE 206,
1550244877-13281,Time/Location: M W 1:10 PM-2:30 PM / MCCONN 404,
1550244877-13282,Time/Location: T Th 10:30 AM-11:50 AM / SEELYE 110,
1550244877-13283,Time/Location: T Th 10:30 AM-11:50 AM / WRIGHT 238,
1550244877-13284,Time/Location: T Th 1:00 PM-2:20 PM / HATFLD 104,
1550244877-13285,Time/Location: T Th 10:30 AM-11:50 AM / BASS 203,
1550244877-13286,Time/Location: T Th 3:00 PM-4:20 PM / SEELYE 204,
1550244877-13287,Time/Location: W 7:00 PM-9:30 PM / SEELYE 202,
1550244877-13288,Time/Location: Th 1:00 PM-2:50 PM / SEELYE 204,
1550244877-13289,Time/Location: T 1:00 PM-2:50 PM / HILLYR L19,
1550244877-13290,Time/Location: M W 2:40 PM-4:00 PM / STODRD G2,
1550244877-13291,Time/Location: T 3:00 PM-4:20 PM / MCCONN 403,
1550244877-13292,Time/Location: T Th 9:00 AM-10:20 AM / WRIGHT 238,
1550244877-13293,Time/Location: T Th 9:00 AM-10:20 AM / STODRD G2,
1550244877-13294,Time/Location: / SEELYE,
1550244877-13295,Time/Location: M W 2:40 PM-4:00 PM / HATFLD 203,
1550244877-13296,Time/Location: T Th 1:00 PM-4:00 PM / CAPENA,
1550244877-13297,Time/Location: T Th 1:00 PM-2:50 PM / BURTON 209,
1550244877-13298,,
1550244877-13299,Time/Location: T 1:00 PM-2:50 PM / SAGE 15,
1550244877-13300,Time/Location: Th 1:00 PM-2:50 PM / SEELYE 308,
1550244877-13301,Time/Location: M W F 9:10 AM-10:20 AM / HATFLD 105,
1550244877-13302,Time/Location: M W F 11:00 AM-12:10 PM / HATFLD 105,
1550244877-13303,Time/Location: M W F 11:00 AM-12:10 PM / HATFLD 107,
1550244877-13304,Time/Location: T 1:00 PM-2:20 PM / HATFLD 105,
1550244877-13305,Time/Location: Th 7:30 PM-9:30 PM / SEELYE 110,
1550244877-13306,Time/Location: M W F 11:00 AM-12:10 PM / DEWEY 104,
1550244877-13307,Time/Location: M W F 1:10 PM-2:20 PM / HATFLD 105,
1550244877-13308,Time/Location: Th 9:00 AM-10:20 AM / HATFLD 105,
1550244877-13309,Time/Location: T Th 1:00 PM-2:20 PM / HATFLD 106,
1550244877-13310,Time/Location: T Th 10:30 AM-11:50 AM / HATFLD 105,
1550244877-13311,Time/Location: M W F 9:00 AM-10:20 AM / HATFLD 203,
1550244877-13312,Time/Location: M W 2:40 PM-4:00 PM / SEELYE 107,
1550244877-13313,Time/Location: T Th 1:00 PM-2:50 PM / SEELYE 312,
1550244877-13314,,
1550244877-13315,Time/Location: M 2:40 PM-4:00 PM / HILLYR GRAHAM,
1550244877-13316,Time/Location: M W 9:00 AM-10:20 AM / HATFLD 107,
1550244877-13317,Time/Location: T Th 9:00 AM-11:50 AM / BURTON 406,
1550244877-13318,Time/Location: M W 1:10 PM-2:30 PM / MCCONN 403,
1550244877-13319,Time/Location: M W 9:00 AM-12:10 PM / BURTON 406,
1550244877-13320,Time/Location: M W 2:40 PM-4:00 PM / HATFLD 202,
1550244877-13321,Time/Location: T Th 9:00 AM-10:20 AM / BURTON 307,
1550244877-13322,Time/Location: M W 1:10 PM-2:30 PM / MCCONN 404,
1550244877-13323,Time/Location: M W F 10:00 AM-10:50 AM / HATFLD 205,
1550244877-13324,Time/Location: T Th 9:00 AM-10:20 AM / BURTON 302,
1550244877-13325,Time/Location: M W F 8:30 AM-9:50 AM / BURTON 101,
1550244877-13326,Time/Location: M W F 11:00 AM-12:10 PM / BURTON 301,
1550244877-13327,Time/Location: M W F 1:10 PM-2:30 PM / BURTON 301,
1550244877-13328,Time/Location: M W F 8:30 AM-9:50 AM / BURTON 301,
1550244877-13329,Time/Location: M W F 11:00 AM-12:10 PM / BURTON 101,
1550244877-13330,Time/Location: M W F 1:10 PM-2:30 PM / BURTON 219,
1550244877-13331,Time/Location: M W F 11:00 AM-12:10 PM / SEELYE 211,
1550244877-13332,Time/Location: T Th 3:00 PM-4:50 PM / BURTON 301,
1550244877-13333,Time/Location: T Th 3:00 PM-4:50 PM / SEELYE 411,
1550244877-13334,Time/Location: M W F 2:40 PM-4:00 PM / BURTON 301,
1550244877-13335,Time/Location: M W F 11:00 AM-12:10 PM / SEELYE 101,
1550244877-13336,Time/Location: M W F 11:00 AM-12:10 PM / SEELYE 312,
1550244877-13337,Time/Location: M W F 1:10 PM-2:30 PM / SEELYE 101,
1550244877-13338,Time/Location: M W F 11:00 AM-12:10 PM / SAB-RD 301,
1550244877-13339,Time/Location: T 1:00 PM-2:50 PM / SAB-RD 301,
1550244877-13340,Time/Location: T 3:00 PM-4:50 PM / SAB-RD 301,
1550244877-13341,Time/Location: M W F 1:10 PM-2:30 PM / BURTON 302,
1550244877-13342,Time/Location: M W F 10:00 AM-10:50 AM / BURTON 301,
1550244877-13343,Time/Location: T Th 10:30 AM-11:50 AM / BURTON 301,
1550244877-13344,Time/Location: M W 9:00 AM-10:20 AM / SAB-RD 301,
1550244877-13345,Time/Location: T Th 1:00 PM-2:50 PM / BURTON 301,
1550244877-13346,Time/Location: T Th 3:00 PM-4:50 PM / SAB-RD 220,
1550244877-13347,Time/Location: Th 1:00 PM-2:50 PM / BURTON 302,
1550244877-13348,Time/Location: T 1:00 PM-2:50 PM / BURTON 302,
1550244877-13349,Time/Location: M W F 11:00 AM-12:10 PM / BASS 203,
1550244877-13350,Time/Location: M W F 2:40 PM-4:00 PM / BURTON 307,
1550244877-13351,Time/Location: M W F 8:30 AM-9:50 AM / BURTON 307,
1550244877-13352,,
1550244877-13353,Time/Location: M T W Th F 9:00 AM-9:50 AM / MCCONN 104,
1550244877-13354,Time/Location: M T W Th F 3:00 PM-3:50 PM / HATFLD 106,
1550244877-13355,Time/Location: M W F 11:00 AM-12:10 PM / MCCONN 104,
1550244877-13356,Time/Location: M W F 2:40 PM-4:00 PM / HATFLD 107,
1550244877-13357,Time/Location: T Th 10:30 AM-11:50 AM / MCCONN 403,
1550244877-13358,Time/Location: M W 1:10 PM-2:30 PM / BASS 211,
1550244877-13359,Time/Location: F 1:10 PM-4:00 PM / TRYON 134,
1550244877-13360,Time/Location: M W F 11:00 AM-12:10 PM / SAGE 215,
1550244877-13361,Time/Location: M W 2:40 PM-4:00 PM / SAGE 215,
1550244877-13362,Time/Location: T Th 10:30 AM-11:50 AM / SAGE 16,
1550244877-13363,Time/Location: M W 1:10 PM-2:30 PM / SAGE 215,
1550244877-13364,Time/Location: T Th 1:00 PM-2:50 PM / SAGE 215,
1550244877-13365,Time/Location: T Th 1:00 PM-2:50 PM / SAGE 16,
1550244877-13366,Time/Location: T 1:00 PM-2:50 PM / SAGE 216,
1550244877-13367,Time/Location: T 3:00 PM-4:50 PM / SAGE 216,
1550244877-13368,Time/Location: Th 7:30 PM-9:30 PM / SAGE RECIT,
1550244877-13369,Time/Location: M W 1:10 PM-2:30 PM / SAGE RECIT,
1550244877-13370,,
1550244877-13371,,
1550244877-13372,Time/Location: M 4:10 PM-6:00 PM / SAGE RECIT,
1550244877-13373,Time/Location: M W 4:10 PM-5:30 PM / SAGE SWEENEY,
1550244877-13374,"Time/Location: M W 5:31 PM-6:30 PM / SAGE 15, T 5:00 PM-6:00 PM / SAGE 15",
1550244877-13375,Time/Location: T 7:00 PM-9:30 PM / SAGE SWEENEY,
1550244877-13376,Time/Location: W 7:00 PM-10:00 PM / SAGE,
1550244877-13377,Time/Location: W 7:00 PM-9:00 PM / SAGE RECIT,
1550244877-13378,Time/Location: M 7:00 PM-8:30 PM / SAGE SWEENEY,
1550244877-13379,Time/Location: Th 6:00 PM-7:29 PM / SAGE RECIT,
1550244877-13380,Time/Location: T Th 5:00 PM-6:00 PM,
1550244877-13381,Time/Location: M W 2:40 PM-4:00 PM / MCCONN 102,
1550244877-13382,Time/Location: T Th 9:00 AM-10:20 AM / MCCONN B15,
1550244877-13383,Time/Location: M W F 10:00 AM-10:50 AM / SAB-RD 410,
1550244877-13384,Time/Location: T 1:00 PM-3:50 PM / SAB-RD 428,
1550244877-13385,Time/Location: T Th 9:00 AM-10:20 AM / BASS 102,
1550244877-13386,Time/Location: T Th 10:30 AM-11:50 AM / MCCONN 102,
1550244877-13387,Time/Location: Th 1:00 PM-3:50 PM / SAB-RD 410,
1550244877-13388,Time/Location: T Th 9:00 AM-10:20 AM / HILLYR 103,
1550244877-13389,Time/Location: T Th 3:00 PM-4:20 PM / SEELYE 106,
1550244877-13390,Time/Location: M W 1:10 PM-2:30 PM / HATFLD 202,
1550244877-13391,Time/Location: T Th 10:30 AM-11:50 AM / HATFLD 104,
1550244877-13392,Time/Location: T Th 10:30 AM-11:50 AM / BURTON 101,
1550244877-13393,Time/Location: T Th 1:00 PM-2:50 PM / SEELYE 110,
1550244877-13394,Time/Location: T Th 9:00 AM-10:20 AM / HATFLD 201,
1550244877-13395,Time/Location: M W 2:40 PM-4:00 PM / HATFLD 205,
1550244877-13396,Time/Location: M W F 11:00 AM-12:10 PM / SEELYE 110,
1550244877-13397,Time/Location: T Th 1:00 PM-2:20 PM / SEELYE 411,
1550244877-13398,Time/Location: T Th 3:00 PM-4:20 PM / HATFLD 104,
1550244877-13399,Time/Location: M W 9:00 AM-10:20 AM / MCCONN 403,
1550244877-13400,Time/Location: Th 3:00 PM-4:50 PM / SEELYE 310,
1550244877-13401,Time/Location: T Th 10:30 AM-11:50 AM / MCCONN 104,
1550244877-13402,Time/Location: T Th 9:00 AM-10:20 AM / MCCONN 102,
1550244877-13403,Time/Location: M W F 9:00 AM-10:50 AM / SAB-RD 305,
1550244877-13404,Time/Location: M W F 1:10 PM-3:00 PM / SAB-RD 305,
1550244877-13405,Time/Location: M W F 9:00 AM-10:50 AM / SAB-RD 308,
1550244877-13406,Time/Location: T 4:01 PM-4:50 PM / SAB-RD 305,
1550244877-13407,Time/Location: Th 4:01 PM-4:50 PM / SAB-RD 305,
1550244877-13408,Time/Location: M W F 9:00 AM-10:50 AM / MCCONN 204,
1550244877-13409,Time/Location: Th 4:01 PM-4:50 PM / MCCONN 204,
1550244877-13410,"Time/Location: M W F 10:00 AM-10:50 AM / MCCONN B05, T 4:01 PM-4:50 PM / MCCONN B05",
1550244877-13411,Time/Location: M W F 11:00 AM-12:10 PM / MCCONN 204,
1550244877-13412,Time/Location: M W F 2:40 PM-4:00 PM / MCCONN 404,
1550244877-13413,Time/Location: M 4:01 PM-6:00 PM / MCCONN 324,
1550244877-13414,Time/Location: M W F 2:40 PM-4:00 PM / MCCONN 204,
1550244877-13415,Time/Location: M W F 11:00 AM-12:10 PM / MCCONN B05,
1550244877-13416,Time/Location: T Th 10:30 AM-11:50 AM / MCCONN 201,
1550244877-13417,Time/Location: T 1:00 PM-3:50 PM / MCCONN 201,
1550244877-13418,Time/Location: Th 1:00 PM-3:50 PM / MCCONN 102,
1550244877-13419,Time/Location: Th 4:01 PM-4:50 PM / MCCONN 102,
1550244877-13420,Time/Location: F 1:10 PM-4:00 PM / POETRY CENTER,
1550244877-13421,Time/Location: T Th 10:30 AM-11:50 AM / STODRD G2,
1550244877-13422,Time/Location: M W F 11:00 AM-12:10 PM / MCCONN 404,
1550244877-13423,Time/Location: Th 1:00 PM-2:20 PM / SAB-RD 301,
1550244877-13424,Time/Location: Th 3:00 PM-4:20 PM / SAB-RD 301,
1550244877-13425,Time/Location: M W 9:00 AM-10:20 AM / BASS 102,
1550244877-13426,Time/Location: T Th 10:30 AM-11:50 AM / SEELYE 411,
1550244877-13427,Time/Location: T Th 1:00 PM-2:20 PM / MCCONN 104,
1550244877-13428,Time/Location: T Th 10:30 AM-11:50 AM / BURTON 101,
1550244877-13429,Time/Location: T Th 10:30 AM-11:50 AM / BASS 210,
1550244877-13430,Time/Location: T Th 9:00 AM-10:20 AM / BASS 210,
1550244877-13431,Time/Location: T Th 1:00 PM-2:20 PM / BASS 203,
1550244877-13432,Time/Location: T Th 9:00 AM-10:20 AM / BASS 203,
1550244877-13433,Time/Location: M W 2:40 PM-4:00 PM / BASS 210,
1550244877-13434,Time/Location: T Th 9:00 AM-10:20 AM / BURTON 101,
1550244877-13435,Time/Location: M W 1:10 PM-2:30 PM / SEELYE 308,
1550244877-13436,Time/Location: T 1:00 PM-2:50 PM / MCCONN 102,
1550244877-13437,Time/Location: M W 1:10 PM-2:30 PM / MCCONN 102,
1550244877-13438,Time/Location: T 1:00 PM-4:00 PM / BASS 209,
1550244877-13439,Time/Location: M W 2:40 PM-4:00 PM / BASS 211,
1550244877-13440,Time/Location: T 3:00 PM-4:50 PM / BASS 204,
1550244877-13441,Time/Location: T Th 10:30 AM-11:50 AM / BASS 204,
1550244877-13442,Time/Location: Th 3:00 PM-4:50 PM / BASS 203,
1550244877-13443,Time/Location: M W 2:40 PM-4:00 PM / DEWEY 104,
1550244877-13444,Time/Location: T 1:00 PM-2:50 PM / BASS 211,
1550244877-13445,Time/Location: T Th 3:00 PM-4:20 PM / SEELYE 106,
1550244877-13446,Time/Location: M W F 11:00 AM-12:10 PM / SEELYE 311,
1550244877-13447,Time/Location: M W 2:40 PM-4:00 PM / SEELYE 311,
1550244877-13448,Time/Location: T Th 10:30 AM-11:50 AM / SEELYE 102,
1550244877-13449,Time/Location: T Th 9:00 AM-10:20 AM / SEELYE 107,
1550244877-13450,Time/Location: T 1:00 PM-4:00 PM / HATFLD 203,
1550244877-13451,Time/Location: T Th 1:00 PM-2:20 PM / HATFLD 107,
1550244877-13452,Time/Location: T Th 9:00 AM-10:20 AM / SEELYE 312,
1550244877-13453,Time/Location: T Th 1:00 PM-2:50 PM / SAGE 215,
1550244877-13454,Time/Location: M W 1:10 PM-2:30 PM / SEELYE 311,
1550244877-13455,Time/Location: M W F 11:00 AM-12:10 PM / HATFLD 202,
1550244877-13456,Time/Location: T Th 10:30 AM-11:50 AM / HATFLD 107,
1550244877-13457,Time/Location: T Th 3:00 PM-4:20 PM / SEELYE 206,
1550244877-13458,Time/Location: M W F 10:00 AM-10:50 AM / HATFLD 202,
1550244877-13459,Time/Location: T Th 1:00 PM-2:20 PM / HATFLD 107,
1550244877-13460,Time/Location: T Th 9:00 AM-10:20 AM / SEELYE 109,
1550244877-13461,Time/Location: T Th 10:30 AM-11:50 AM / SEELYE 308,
1550244877-13462,Time/Location: M W 2:40 PM-4:00 PM / SEELYE 211,
1550244877-13463,Time/Location: T Th 10:30 AM-11:50 AM / WRIGHT WEIN,
1550244877-13464,Time/Location: M W F 11:00 AM-12:10 PM / SEELYE 308,
1550244877-13465,Time/Location: M W 1:10 PM-2:30 PM / SEELYE 107,
1550244877-13466,Time/Location: T Th 1:00 PM-2:20 PM / SEELYE 109,
1550244877-13467,Time/Location: T Th 1:00 PM-2:50 PM / SEELYE 301,
1550244877-13468,Time/Location: M W 2:40 PM-4:00 PM / BASS 204,
1550244877-13469,Time/Location: M W 2:40 PM-4:00 PM / SEELYE 312,
1550244877-13470,Time/Location: M W 1:10 PM-2:30 PM / SEELYE 211,
1550244877-13471,Time/Location: T 1:00 PM-2:50 PM / HATFLD 204,
1550244877-13472,Time/Location: T 3:00 PM-4:50 PM / SEELYE 301,
1550244877-13473,Time/Location: M W F 10:00 AM-10:50 AM / HATFLD 104,
1550244877-13474,Time/Location: M W F 11:00 AM-12:10 PM / HATFLD 203,
1550244877-13475,Time/Location: T 7:00 PM-9:00 PM / HILLYR GRAHAM,
1550244877-13476,Time/Location: M W F 11:00 AM-12:10 PM / HATFLD 104,
1550244877-13477,Time/Location: T Th 1:00 PM-2:20 PM / HATFLD 106,
1550244877-13478,Time/Location: M W 1:10 PM-2:30 PM / HATFLD 201,
1550244877-13479,Time/Location: M W F 1:10 PM-2:30 PM / HATFLD 106,
1550244877-13480,Time/Location: M W F 9:00 AM-10:20 AM / HATFLD 206,
1550244877-13481,Time/Location: M W F 9:00 AM-10:10 AM / SEELYE 308,
1550244877-13482,Time/Location: M W F 11:00 AM-12:10 PM / BURTON 219,
1550244877-13483,Time/Location: T 7:00 PM-9:00 PM / HILLYR GRAHAM,
1550244877-13484,Time/Location: M W F 11:00 AM-12:10 PM / HATFLD 206,
1550244877-13485,Time/Location: M W F 1:10 PM-2:00 PM / SEELYE 109,
1550244877-13486,Time/Location: T Th 10:30 AM-11:50 AM / HATFLD 203,
1550244877-13487,Time/Location: M W 1:10 PM-2:30 PM / HATFLD 206,
1550244877-13488,Time/Location: T Th 10:30 AM-11:50 AM / MCCONN 103,
1550244877-13489,Time/Location: T Th 1:00 PM-2:50 PM / HATFLD 206,
1550244877-13490,Time/Location: M W 9:00 AM-10:20 AM / SEELYE 109,
1550244877-13491,Time/Location: M W F 11:00 AM-12:10 PM / SEELYE 204,
1550244877-13492,Time/Location: M W F 11:00 AM-12:10 PM / SEELYE 304,
1550244877-13493,Time/Location: T Th 9:00 AM-10:20 AM / HATFLD 206,
1550244877-13494,Time/Location: M W 2:40 PM-4:00 PM / HATFLD 203,
1550244877-13495,Time/Location: T Th 1:00 PM-2:20 PM / HATFLD 106,
